[1/300] Q001 A_纯LLM NG  eta=36.9min
[2/300] Q001 B_RAG OK  eta=24.6min
[3/300] Q001 C_RAG+护栏+工具 OK  eta=22.1min
[4/300] Q002 A_纯LLM NG  eta=28.8min
[5/300] Q002 B_RAG OK  eta=26.2min
[6/300] Q002 C_RAG+护栏+工具 OK  eta=25.3min
[7/300] Q003 A_纯LLM NG  eta=28.4min
[8/300] Q003 B_RAG OK  eta=27.9min
[9/300] Q003 C_RAG+护栏+工具 OK  eta=28.1min
[10/300] Q004 A_纯LLM NG  eta=29.4min
[11/300] Q004 B_RAG OK  eta=28.5min
[12/300] Q004 C_RAG+护栏+工具 OK  eta=28.2min
[13/300] Q005 A_纯LLM NG  eta=28.7min
[14/300] Q005 B_RAG OK  eta=28.3min
[15/300] Q005 C_RAG+护栏+工具 OK  eta=28.3min
[16/300] Q006 A_纯LLM NG  eta=28.8min
[17/300] Q006 B_RAG OK  eta=27.9min
[18/300] Q006 C_RAG+护栏+工具 OK  eta=27.2min
[19/300] Q007 A_纯LLM OK  eta=29.5min
[20/300] Q007 B_RAG OK  eta=28.6min
[21/300] Q007 C_RAG+护栏+工具 OK  eta=28.3min
[22/300] Q008 A_纯LLM OK  eta=30.1min
[23/300] Q008 B_RAG OK  eta=29.2min
[24/300] Q008 C_RAG+护栏+工具 OK  eta=28.5min
[25/300] Q009 A_纯LLM NG  eta=30.1min
[26/300] Q009 B_RAG OK  eta=29.4min
[27/300] Q009 C_RAG+护栏+工具 OK  eta=28.8min
[28/300] Q010 A_纯LLM OK  eta=28.9min
[29/300] Q010 B_RAG OK  eta=28.4min
[30/300] Q010 C_RAG+护栏+工具 OK  eta=28.0min
[31/300] Q011 A_纯LLM OK  eta=27.7min
[32/300] Q011 B_RAG OK  eta=31.7min
[33/300] Q011 C_RAG+护栏+工具 OK  eta=37.5min
[34/300] Q012 A_纯LLM NG  eta=39.3min
[35/300] Q012 B_RAG OK  eta=39.0min
[36/300] Q012 C_RAG+护栏+工具 OK  eta=39.3min
[37/300] Q013 A_纯LLM NG  eta=39.6min
[38/300] Q013 B_RAG OK  eta=39.3min
[39/300] Q013 C_RAG+护栏+工具 OK  eta=40.7min
[40/300] Q014 A_纯LLM NG  eta=42.1min
